,test_vs_ref_x,test,ref_x,ContrastName_x,variable,ref_value,test_vs_ref_y,ref_y,ContrastName_y,test_value
73390,,test_E-MEXP-926_urine_83972,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,1
73391,,test_E-MEXP-926_urine_83972,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,1
73392,,test_E-MEXP-926_urine_83972,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,1
73393,,test_E-MEXP-926_urine_biofilm_83972,,,STRAIN.83972,,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,1
73394,,test_E-MEXP-926_urine_biofilm_83972,,,STRAIN.83972,,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,1
73395,,test_E-MEXP-926_urine_biofilm_83972,,,STRAIN.83972,,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,1
73396,,test_E-MEXP-926_urine_biofilm_83972,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,1
73397,,test_E-MEXP-926_urine_biofilm_83972,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,1
73398,,test_E-MEXP-926_urine_biofilm_83972,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,1
73399,,test_E-MEXP-926_urine_biofilm_83972,,,GROWTH.BIOFILM,,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,1
73400,,test_E-MEXP-926_urine_biofilm_83972,,,GROWTH.BIOFILM,,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,1
73401,,test_E-MEXP-926_urine_biofilm_83972,,,GROWTH.BIOFILM,,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,1
73402,,test_E-MEXP-926_urine_VR50,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23442.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23442.ch1-vs-E-MEXP-926.23441.ch1,1
73403,,test_E-MEXP-926_urine_VR50,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23443.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23443.ch1-vs-E-MEXP-926.23441.ch1,1
73404,,test_E-MEXP-926_urine_VR50,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23444.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23444.ch1-vs-E-MEXP-926.23441.ch1,1
73405,,test_E-MEXP-926_urine_biofilm_VR50,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,1
73406,,test_E-MEXP-926_urine_biofilm_VR50,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,1
73407,,test_E-MEXP-926_urine_biofilm_VR50,,,MEDIUM.HUMAN_URINE,,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,1
73408,,test_E-MEXP-926_urine_biofilm_VR50,,,GROWTH.BIOFILM,,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,1
73409,,test_E-MEXP-926_urine_biofilm_VR50,,,GROWTH.BIOFILM,,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,1
73410,,test_E-MEXP-926_urine_biofilm_VR50,,,GROWTH.BIOFILM,,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,1
73411,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,TIME,,E-MEXP-953.23994.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.23994.ch1-vs-E-MEXP-953.24019.ch1,2280min
73412,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,TIME,,E-MEXP-953.24017.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24017.ch1-vs-E-MEXP-953.24019.ch1,2280min
73413,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,TIME,,E-MEXP-953.24018.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24018.ch1-vs-E-MEXP-953.24019.ch1,2280min
73414,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,GROWTH.BIOFILM,,E-MEXP-953.23994.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.23994.ch1-vs-E-MEXP-953.24019.ch1,1
73415,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,GROWTH.BIOFILM,,E-MEXP-953.24017.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24017.ch1-vs-E-MEXP-953.24019.ch1,1
73416,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,GROWTH.BIOFILM,,E-MEXP-953.24018.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24018.ch1-vs-E-MEXP-953.24019.ch1,1
73417,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,FLOW_CELL,,E-MEXP-953.23994.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.23994.ch1-vs-E-MEXP-953.24019.ch1,1
73418,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,FLOW_CELL,,E-MEXP-953.24017.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24017.ch1-vs-E-MEXP-953.24019.ch1,1
73419,,test_E-MEXP-953_T48_K12_Biofilm_biofilm_F+Lampda+,,,FLOW_CELL,,E-MEXP-953.24018.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24018.ch1-vs-E-MEXP-953.24019.ch1,1
73420,,test_E-MEXP-953_T20_K12_Stationary_planktonic_F+Lampda+,,,TIME,,E-MEXP-953.24021.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24021.ch1-vs-E-MEXP-953.24019.ch1,600min
73421,,test_E-MEXP-953_T20_K12_Stationary_planktonic_F+Lampda+,,,TIME,,E-MEXP-953.24022.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24022.ch1-vs-E-MEXP-953.24019.ch1,600min
73422,,test_E-MEXP-953_T20_K12_Stationary_planktonic_F+Lampda+,,,GROWTH.STATIONARY,,E-MEXP-953.24021.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24021.ch1-vs-E-MEXP-953.24019.ch1,1
73423,,test_E-MEXP-953_T20_K12_Stationary_planktonic_F+Lampda+,,,GROWTH.STATIONARY,,E-MEXP-953.24022.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24022.ch1-vs-E-MEXP-953.24019.ch1,1
73424,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24023.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24023.ch1-vs-E-MEXP-953.24019.ch1,2280min
73425,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24024.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24024.ch1-vs-E-MEXP-953.24019.ch1,2280min
73426,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24025.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24025.ch1-vs-E-MEXP-953.24019.ch1,2280min
73427,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.BIOFILM,,E-MEXP-953.24023.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24023.ch1-vs-E-MEXP-953.24019.ch1,1
73428,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.BIOFILM,,E-MEXP-953.24024.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24024.ch1-vs-E-MEXP-953.24019.ch1,1
73429,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.BIOFILM,,E-MEXP-953.24025.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24025.ch1-vs-E-MEXP-953.24019.ch1,1
73430,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,FLOW_CELL,,E-MEXP-953.24023.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24023.ch1-vs-E-MEXP-953.24019.ch1,1
73431,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,FLOW_CELL,,E-MEXP-953.24024.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24024.ch1-vs-E-MEXP-953.24019.ch1,1
73432,,test_E-MEXP-953_T48_MG1655_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,FLOW_CELL,,E-MEXP-953.24025.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24025.ch1-vs-E-MEXP-953.24019.ch1,1
73433,,test_E-MEXP-953_T20_MG1655_Stationary_planktonic_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24029.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24029.ch1-vs-E-MEXP-953.24019.ch1,600min
73434,,test_E-MEXP-953_T20_MG1655_Stationary_planktonic_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24030.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24030.ch1-vs-E-MEXP-953.24019.ch1,600min
73435,,test_E-MEXP-953_T20_MG1655_Stationary_planktonic_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24031.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24031.ch1-vs-E-MEXP-953.24019.ch1,600min
73436,,test_E-MEXP-953_T20_MG1655_Stationary_planktonic_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.STATIONARY,,E-MEXP-953.24029.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24029.ch1-vs-E-MEXP-953.24019.ch1,1
73437,,test_E-MEXP-953_T20_MG1655_Stationary_planktonic_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.STATIONARY,,E-MEXP-953.24030.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24030.ch1-vs-E-MEXP-953.24019.ch1,1
73438,,test_E-MEXP-953_T20_MG1655_Stationary_planktonic_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.STATIONARY,,E-MEXP-953.24031.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24031.ch1-vs-E-MEXP-953.24019.ch1,1
73439,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,PLASMID.pBR322,,E-MEXP-953.24032.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24032.ch1-vs-E-MEXP-953.24019.ch1,1
73440,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,PLASMID.pBR322,,E-MEXP-953.24033.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24033.ch1-vs-E-MEXP-953.24019.ch1,1
73441,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,PLASMID.pBR322,,E-MEXP-953.24034.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24034.ch1-vs-E-MEXP-953.24019.ch1,1
73442,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24032.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24032.ch1-vs-E-MEXP-953.24019.ch1,2280min
73443,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24033.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24033.ch1-vs-E-MEXP-953.24019.ch1,2280min
73444,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,TIME,,E-MEXP-953.24034.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24034.ch1-vs-E-MEXP-953.24019.ch1,2280min
73445,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.BIOFILM,,E-MEXP-953.24032.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24032.ch1-vs-E-MEXP-953.24019.ch1,1
73446,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.BIOFILM,,E-MEXP-953.24033.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24033.ch1-vs-E-MEXP-953.24019.ch1,1
73447,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,GROWTH.BIOFILM,,E-MEXP-953.24034.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24034.ch1-vs-E-MEXP-953.24019.ch1,1
73448,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,FLOW_CELL,,E-MEXP-953.24032.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24032.ch1-vs-E-MEXP-953.24019.ch1,1
73449,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,FLOW_CELL,,E-MEXP-953.24033.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24033.ch1-vs-E-MEXP-953.24019.ch1,1
73450,,test_E-MEXP-953_T48_MG1655+pBR322_Biofilm_biofilm_F_lambda_ilvG_rfb_50_rph_1,,,FLOW_CELL,,E-MEXP-953.24034.ch1-vs-E-MEXP-953.24019.ch1,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+,E-MEXP-953.24034.ch1-vs-E-MEXP-953.24019.ch1,1
73451,,test_E-MEXP-1001_biofilm,,,GROWTH.BIOFILM,,E-MEXP-1001.25277.ch1-vs-E-MEXP-1001.25280.ch1,ref_E-MEXP-1001_suspension_exp,E-MEXP-1001.25277.ch1-vs-E-MEXP-1001.25280.ch1,1
73452,,test_E-MEXP-1001_biofilm,,,GROWTH.BIOFILM,,E-MEXP-1001.25278.ch1-vs-E-MEXP-1001.25280.ch1,ref_E-MEXP-1001_suspension_exp,E-MEXP-1001.25278.ch1-vs-E-MEXP-1001.25280.ch1,1
73453,,test_E-MEXP-1001_biofilm,,,FLOW_CELL,,E-MEXP-1001.25277.ch1-vs-E-MEXP-1001.25280.ch1,ref_E-MEXP-1001_suspension_exp,E-MEXP-1001.25277.ch1-vs-E-MEXP-1001.25280.ch1,1
73454,,test_E-MEXP-1001_biofilm,,,FLOW_CELL,,E-MEXP-1001.25278.ch1-vs-E-MEXP-1001.25280.ch1,ref_E-MEXP-1001_suspension_exp,E-MEXP-1001.25278.ch1-vs-E-MEXP-1001.25280.ch1,1
73455,,test_E-MEXP-1001_art_mating_F_phenocopy,,,STRAIN.F_phenotype,,E-MEXP-1001.25281.ch1-vs-E-MEXP-1001.25280.ch1,ref_E-MEXP-1001_suspension_exp,E-MEXP-1001.25281.ch1-vs-E-MEXP-1001.25280.ch1,1
73456,,test_E-MEXP-1001_art_mating_F_phenocopy,,,STRAIN.F_phenotype,,E-MEXP-1001.25282.ch1-vs-E-MEXP-1001.25280.ch1,ref_E-MEXP-1001_suspension_exp,E-MEXP-1001.25282.ch1-vs-E-MEXP-1001.25280.ch1,1
73457,,test_E-MEXP-1001_suspension_stat,,,GROWTH.STATIONARY,,E-MEXP-1001.25283.ch1-vs-E-MEXP-1001.25280.ch1,ref_E-MEXP-1001_suspension_exp,E-MEXP-1001.25283.ch1-vs-E-MEXP-1001.25280.ch1,1
73458,,test_E-MEXP-1001_suspension_stat,,,GROWTH.STATIONARY,,E-MEXP-1001.25284.ch1-vs-E-MEXP-1001.25280.ch1,ref_E-MEXP-1001_suspension_exp,E-MEXP-1001.25284.ch1-vs-E-MEXP-1001.25280.ch1,1
73459,,test_E-MEXP-1166_DH10B_evoStat,,,EVOLVE-ADAPT.STATIONARY_PHASE,,E-MEXP-1166.29291.ch1-vs-E-MEXP-1166.29291.ch2,ref_E-MEXP-1166_DH10B,E-MEXP-1166.29291.ch1-vs-E-MEXP-1166.29291.ch2,1
73460,,test_E-MEXP-1166_DH10B_evoStat,,,EVOLVE-ADAPT.STATIONARY_PHASE,,E-MEXP-1166.29292.ch1-vs-E-MEXP-1166.29292.ch2,ref_E-MEXP-1166_DH10B,E-MEXP-1166.29292.ch1-vs-E-MEXP-1166.29292.ch2,1
73461,,test_E-MEXP-1166_DH10B_evoStat,,,EVOLVE-ADAPT.STATIONARY_PHASE,,E-MEXP-1166.29293.ch2-vs-E-MEXP-1166.29293.ch1,ref_E-MEXP-1166_DH10B,E-MEXP-1166.29293.ch2-vs-E-MEXP-1166.29293.ch1,1
73462,,test_E-MEXP-1166_DH10B_evoStat,,,EVOLVE-ADAPT.STATIONARY_PHASE,,E-MEXP-1166.29294.ch2-vs-E-MEXP-1166.29294.ch1,ref_E-MEXP-1166_DH10B,E-MEXP-1166.29294.ch2-vs-E-MEXP-1166.29294.ch1,1
73463,,test_E-MEXP-1166_DH10B_evoStat,,,EVOLVE-ADAPT.STATIONARY_PHASE.TIME,,E-MEXP-1166.29291.ch1-vs-E-MEXP-1166.29291.ch2,ref_E-MEXP-1166_DH10B,E-MEXP-1166.29291.ch1-vs-E-MEXP-1166.29291.ch2,53280generations
73464,,test_E-MEXP-1166_DH10B_evoStat,,,EVOLVE-ADAPT.STATIONARY_PHASE.TIME,,E-MEXP-1166.29292.ch1-vs-E-MEXP-1166.29292.ch2,ref_E-MEXP-1166_DH10B,E-MEXP-1166.29292.ch1-vs-E-MEXP-1166.29292.ch2,53280generations
73465,,test_E-MEXP-1166_DH10B_evoStat,,,EVOLVE-ADAPT.STATIONARY_PHASE.TIME,,E-MEXP-1166.29293.ch2-vs-E-MEXP-1166.29293.ch1,ref_E-MEXP-1166_DH10B,E-MEXP-1166.29293.ch2-vs-E-MEXP-1166.29293.ch1,53280generations
73466,,test_E-MEXP-1166_DH10B_evoStat,,,EVOLVE-ADAPT.STATIONARY_PHASE.TIME,,E-MEXP-1166.29294.ch2-vs-E-MEXP-1166.29294.ch1,ref_E-MEXP-1166_DH10B,E-MEXP-1166.29294.ch2-vs-E-MEXP-1166.29294.ch1,53280generations
73467,,test_E-MEXP-1166_DH10B_evoGluc_gal,,,EVOLVE-ADAPT.GLUCOSE,,E-MEXP-1166.29295.ch1-vs-E-MEXP-1166.29295.ch2,ref_E-MEXP-1166_DH10B_gal,E-MEXP-1166.29295.ch1-vs-E-MEXP-1166.29295.ch2,4
73468,,test_E-MEXP-1166_DH10B_evoGluc_gal,,,EVOLVE-ADAPT.GLUCOSE,,E-MEXP-1166.29296.ch1-vs-E-MEXP-1166.29296.ch2,ref_E-MEXP-1166_DH10B_gal,E-MEXP-1166.29296.ch1-vs-E-MEXP-1166.29296.ch2,4
73469,,test_E-MEXP-1166_DH10B_evoGluc_gal,,,EVOLVE-ADAPT.GLUCOSE,,E-MEXP-1166.29297.ch2-vs-E-MEXP-1166.29297.ch1,ref_E-MEXP-1166_DH10B_gal,E-MEXP-1166.29297.ch2-vs-E-MEXP-1166.29297.ch1,4
73470,,test_E-MEXP-1166_DH10B_evoGluc_gal,,,EVOLVE-ADAPT.GLUCOSE,,E-MEXP-1166.29298.ch2-vs-E-MEXP-1166.29298.ch1,ref_E-MEXP-1166_DH10B_gal,E-MEXP-1166.29298.ch2-vs-E-MEXP-1166.29298.ch1,4
73471,,test_E-MEXP-1166_DH10B_evoGluc_gal,,,EVOLVE-ADAPT.GLUCOSE.TIME,,E-MEXP-1166.29295.ch1-vs-E-MEXP-1166.29295.ch2,ref_E-MEXP-1166_DH10B_gal,E-MEXP-1166.29295.ch1-vs-E-MEXP-1166.29295.ch2,1000generations
73472,,test_E-MEXP-1166_DH10B_evoGluc_gal,,,EVOLVE-ADAPT.GLUCOSE.TIME,,E-MEXP-1166.29296.ch1-vs-E-MEXP-1166.29296.ch2,ref_E-MEXP-1166_DH10B_gal,E-MEXP-1166.29296.ch1-vs-E-MEXP-1166.29296.ch2,1000generations
73473,,test_E-MEXP-1166_DH10B_evoGluc_gal,,,EVOLVE-ADAPT.GLUCOSE.TIME,,E-MEXP-1166.29297.ch2-vs-E-MEXP-1166.29297.ch1,ref_E-MEXP-1166_DH10B_gal,E-MEXP-1166.29297.ch2-vs-E-MEXP-1166.29297.ch1,1000generations
73474,,test_E-MEXP-1166_DH10B_evoGluc_gal,,,EVOLVE-ADAPT.GLUCOSE.TIME,,E-MEXP-1166.29298.ch2-vs-E-MEXP-1166.29298.ch1,ref_E-MEXP-1166_DH10B_gal,E-MEXP-1166.29298.ch2-vs-E-MEXP-1166.29298.ch1,1000generations
73475,,test_E-MEXP-1166_MG1655_evoGluc,,,EVOLVE-ADAPT.GLUCOSE,,E-MEXP-1166.29299.ch1-vs-E-MEXP-1166.29299.ch2,ref_E-MEXP-1166_MG1655,E-MEXP-1166.29299.ch1-vs-E-MEXP-1166.29299.ch2,4
73476,,test_E-MEXP-1166_MG1655_evoGluc,,,EVOLVE-ADAPT.GLUCOSE,,E-MEXP-1166.29300.ch1-vs-E-MEXP-1166.29300.ch2,ref_E-MEXP-1166_MG1655,E-MEXP-1166.29300.ch1-vs-E-MEXP-1166.29300.ch2,4
73477,,test_E-MEXP-1166_MG1655_evoGluc,,,EVOLVE-ADAPT.GLUCOSE,,E-MEXP-1166.29301.ch1-vs-E-MEXP-1166.29301.ch2,ref_E-MEXP-1166_MG1655,E-MEXP-1166.29301.ch1-vs-E-MEXP-1166.29301.ch2,4
